output_filename	product_id	sku	attachment_id	output_type	style	ring_shape_preserved	gemstone_color_preserved	gemstone_pattern_preserved	engraving_preserved	correct_ring_scale	hand_anatomy_valid	cutout_appearance	needs_human_review	status	notes
product-117-sku-1009-gallery-1-attachment-119.webp	117	1009	119	cleaned-repair	none	yes	yes	yes	yes	n/a	n/a	n/a	yes	READY	Vendor pre-existing retouch smudge under the band (textureless velvet + straight seams at x~554/y~805-830, Hough-verified) repaired via AI generative fill retry #2, composited inside a reviewed feathered polygon excluding ring, reflection pool and white box. Outside-mask pixels max-diff=1 (byte-identical in practice). Ring/stone/inscriptions untouched by construction. V1 attempt had failed because the smudge was not detectable at thumbnail scale and sits under the band.
product-300-sku-NM-3574-featured-attachment-301.webp	300	NM-3574	301	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved). Watermark removed, FSR fill, outside-mask bit-identical.
product-211-sku-NM-3603-featured-attachment-212.webp	211	NM-3603	212	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-363-sku-NM-3553-featured-attachment-364.webp	363	NM-3553	364	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-175-sku-NM-3615-featured-attachment-176.webp	175	NM-3615	176	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-184-sku-NM-3612-featured-attachment-185.webp	184	NM-3612	185	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-390-sku-13204540-gallery-1-attachment-392.webp	390	13204540	392	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-278-sku-NM-3581-gallery-1-attachment-280.webp	278	NM-3581	280	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-214-sku-NM-3602-featured-attachment-215.webp	214	NM-3602	215	cleaned	none	yes	yes	yes	yes	n/a	n/a	n/a	no	READY	Unchanged from V1 (owner-approved).
product-265-sku-12184564-featured-attachment-266.webp	265	12184564	266	cleaned	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no	CONTROL_CLEAN	Control: byte-identical to original.
product-117-sku-1009-gallery-1-attachment-119.webp	117	1009	119	cleaned	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no	CONTROL_CLEAN	Control identity retained: only the reviewed repair polygon differs from original.
product-184-post-4x5.jpg	184	NM-3612	185	instagram-post	DARK FORMAL	yes	yes	yes	partially — hidden by hand angle, consistent with natural occlusion	yes	yes	no	no	READY	Square carnelian + beaded bezel faithful; band engraving partially occluded by finger (natural view angle, not an alteration); coherent single photo, suit cuff + charcoal env + warm-gold light.
product-211-post-4x5.jpg	211	NM-3603	212	instagram-post	WARM LEATHER	yes	yes	yes	yes	yes	yes	no	no	READY	Amethyst cabochon + crown prongs + floral band faithful; leather chesterfield scene; warm natural light; scale correct.
product-300-post-4x5.jpg	300	NM-3574	301	instagram-post	CLEAN PREMIUM	yes	yes	yes	yes	yes	yes	no	no	READY	Rectangular onyx + beaded bezel + geometric shoulders faithful; ivory limestone, clean commercial light; minimal composition.
product-184-story-9x16.jpg	184	NM-3612	185	instagram-story	DARK FORMAL	yes	yes	yes	yes	yes	yes	no	no	READY	Suit-sleeve composition with clean upper negative space; ring fidelity preserved.
product-211-story-9x16.jpg	211	NM-3603	212	instagram-story	WARM LEATHER	yes	yes	yes	yes	yes	yes	no	no	READY	Leather + heritage-carpet accent; amethyst fidelity preserved; negative space for Persian text overlay at publication time.
product-300-story-9x16.jpg	300	NM-3574	301	instagram-story	CLEAN PREMIUM	yes	yes	yes	yes	yes	yes	no	no	READY	Limestone slab + grey backdrop; onyx fidelity preserved; minimal premium look.
