filename	product_id	sku	attachment_id	output_type	watermark_detected	watermark_removed	product_preserved	gemstone_color_changed	gemstone_pattern_changed	ring_shape_changed	engraving_changed	background_changed	dimensions_preserved	needs_human_review	status	notes
product-300-sku-NM-3574-featured-attachment-301.webp	300	NM-3574	301	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Gold ornamental logo removed from flat white surface; FSR fill continuous; outside-mask pixels verified bit-identical.
product-211-sku-NM-3603-featured-attachment-212.webp	211	NM-3603	212	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Logo removed from cushion gradient; smooth fill; product untouched.
product-363-sku-NM-3553-featured-attachment-364.webp	363	NM-3553	364	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Logo removed near cushion corner on pink surface; gradient continuous.
product-175-sku-NM-3615-featured-attachment-176.webp	175	NM-3615	176	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Logo removed from soft falloff gradient; no visible seam.
product-184-sku-NM-3612-featured-attachment-185.webp	184	NM-3612	185	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Logo adjacent to ring shadow removed; shadow gradient preserved; ring pixels untouched.
product-390-sku-13204540-gallery-1-attachment-392.webp	390	13204540	392	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Logo over velvet/box shadow boundary removed; boundary reconstructed with minor local softening (background only).
product-278-sku-NM-3581-gallery-1-attachment-280.webp	278	NM-3581	280	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	no	READY	Logo below gemstone removed; cushion edge fill has minor local softening (background only, product shadow preserved).
product-214-sku-NM-3602-featured-attachment-215.webp	214	NM-3602	215	cleaned	yes	yes	yes	no	no	no	no	mask-area-only	yes	yes	READY	Logo inside surface reflection zone removed; reflection reconstructed smooth. Recommend owner spot-check of reflection realism before store upload; ring pixels verified untouched.
product-265-sku-12184564-featured-attachment-266.webp	265	12184564	266	cleaned	no	n/a	yes	no	no	no	no	none	yes	no	CONTROL_CLEAN	Control sample; detector produced empty mask; output byte-identical (SHA-256 match).
product-117-sku-1009-gallery-1-attachment-119.webp	117	1009	119	cleaned	no	n/a	yes	no	no	no	no	none	yes	no	CONTROL_CLEAN	Control sample (dark velvet box scene); empty mask; output byte-identical (SHA-256 match).
