filename	product_id	sku	attachment_id	watermark_type	watermark_location	difficulty	selection_reason
product-300-sku-NM-3574-featured-attachment-301.webp	300	NM-3574	301	gold-ornamental-seller-logo	near ring — bottom-right on flat white display surface	simple	Watermark fully on smooth uniform background, far from ring and shadow; baseline simple case for the pink-studio series.
product-211-sku-NM-3603-featured-attachment-212.webp	211	NM-3603	212	gold-ornamental-seller-logo	near ring — bottom-center at display cushion edge	simple	Watermark on plain white cushion surface with gentle gradient; tests gradient reconstruction without touching product.
product-363-sku-NM-3553-featured-attachment-364.webp	363	NM-3553	364	gold-ornamental-seller-logo	near ring — bottom-right on pink-white studio surface near cushion corner	simple	Watermark sits on smooth pink-tinted background near cushion corner; representative of the most common watermark placement in the archive.
product-175-sku-NM-3615-featured-attachment-176.webp	175	NM-3615	176	gold-ornamental-seller-logo	near ring — bottom-right on white surface with soft studio falloff	simple	Watermark over soft light falloff gradient; verifies seam-free fill on low-contrast gradient backgrounds.
product-184-sku-NM-3612-featured-attachment-185.webp	184	NM-3612	185	gold-ornamental-seller-logo	near ring — bottom-right beside the ring shadow on white leatherette cushion	shadow-adjacent	Watermark borders the soft shadow cast by the ring; fill must continue the shadow gradient without hard seams or shadow removal.
product-390-sku-13204540-gallery-1-attachment-392.webp	390	13204540	392	gold-ornamental-seller-logo	near ring — bottom-left over shadow band where black velvet meets white box base	shadow-adjacent	Watermark overlaps a structured shadow boundary between dark and light regions; tests structured-edge reconstruction on a clean-series (non-pink) image.
product-278-sku-NM-3581-gallery-1-attachment-280.webp	278	NM-3581	280	gold-ornamental-seller-logo	over detail — bottom-center over cushion edge below the yellow shajar stone and band shadow	difficult	Logo touches the cushion edge and the shadow zone directly beneath the gemstone; narrow-mask precision required to protect product shadow and band.
product-214-sku-NM-3602-featured-attachment-215.webp	214	NM-3602	215	gold-ornamental-seller-logo	over detail — bottom-center over the reflective surface and reflection zone of the dendritic agate ring	difficult	Watermark sits inside the ring reflection area on a mirror-finish surface; highest risk of product-detail contamination, priority human-review case.
product-265-sku-12184564-featured-attachment-266.webp	265	12184564	266	none	none	none	No watermark detected at thumbnail or full resolution; control sample to verify the pipeline makes zero changes to clean images.
product-117-sku-1009-gallery-1-attachment-119.webp	117	1009	119	none	none	none	No watermark; dark velvet box scene control to confirm detection produces an empty mask and the cleaner is a no-op.
